"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Dabigatran Etexilate","72865-273-60","150 mg/1","CAPSULE","ORAL","ANDA207961","XLCare Pharmaceuticals, Inc.","72865-273","Dabigatran Etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","08/01/2023","N/A","ANDA","60 CAPSULE in 1 BOTTLE (72865-273-60)","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0108-60","110 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0108","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","11/23/2015","N/A","NDA","10 BLISTER PACK in 1 CARTON (0597-0108-60)  / 6 CAPSULE in 1 BLISTER PACK","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0108-54","110 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0108","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","07/07/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0597-0108-54)  / 60 CAPSULE in 1 BOTTLE","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0355-56","75 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0355","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","07/28/2017","N/A","NDA","60 BLISTER PACK in 1 CARTON (0597-0355-56)  / 1 CAPSULE in 1 BLISTER PACK","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0355-09","75 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0355","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","07/28/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0597-0355-09)  / 60 CAPSULE in 1 BOTTLE","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0360-82","150 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0360","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","07/28/2017","N/A","NDA","60 BLISTER PACK in 1 CARTON (0597-0360-82)  / 1 CAPSULE in 1 BLISTER PACK","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0360-55","150 mg/1","CAPSULE","ORAL","NDA022512","Boehringer Ingelheim Pharmaceuticals Inc.","0597-0360","dabigatran etexilate mesylate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","07/28/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0597-0360-55)  / 60 CAPSULE in 1 BOTTLE","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0425-78","20 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0425","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0425-78)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0430-18","30 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0430","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0430-18)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0435-96","40 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0435","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0435-96)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0440-53","50 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0440","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0440-53)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0445-87","110 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0445","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0445-87)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
"Pradaxa","0597-0450-16","150 mg/1","PELLET","ORAL","NDA214358","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0450","dabigatran etexilate","DABIGATRAN ETEXILATE MESYLATE","HUMAN PRESCRIPTION DRUG","03/16/2022","N/A","NDA","1 BAG in 1 CARTON (0597-0450-16)  / 60 PELLET in 1 BAG","Direct Thrombin Inhibitor [EPC],  Thrombin Inhibitors [MoA]","N/A","No","12/31/2026"
