"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ZOLPIDEM TARTRATE","68071-5120-1","10 mg/1","TABLET","ORAL","ANDA077903","NuCare Pharmaceuticals,Inc.","68071-5120","zolpidem tartrate","ZOLPIDEM TARTRATE","HUMAN PRESCRIPTION DRUG","12/04/2019","N/A","ANDA","100 TABLET in 1 BOTTLE (68071-5120-1)","Central Nervous System Depression [PE],  GABA A Receptor Positive Modulators [MoA],  gamma-Aminobutyric Acid A Receptor Positive Modulator [EPC]","CIV","No","12/31/2026"
"Rivastigmine Tartrate","46708-066-10","6 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-066","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (46708-066-10)  / 10 CAPSULE in 1 BLISTER PACK (46708-066-11)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-066-30","6 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-066","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","30 CAPSULE in 1 BOTTLE (46708-066-30)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-066-60","6 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-066","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","60 CAPSULE in 1 BOTTLE (46708-066-60)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-066-71","6 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-066","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","500 CAPSULE in 1 BOTTLE (46708-066-71)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-066-91","6 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-066","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (46708-066-91)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-0","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","120 TABLET in 1 BOTTLE (71335-1840-0)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-1","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-1840-1)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-2","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-1840-2)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-3","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","15 TABLET in 1 BOTTLE (71335-1840-3)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-4","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-1840-4)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-5","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","7 TABLET in 1 BOTTLE (71335-1840-5)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-6","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","21 TABLET in 1 BOTTLE (71335-1840-6)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-7","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","42 TABLET in 1 BOTTLE (71335-1840-7)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-8","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","100 TABLET in 1 BOTTLE (71335-1840-8)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"PHENDIMETRAZINE TARTRATE","71335-1840-9","35 mg/1","TABLET","ORAL","ANDA085588","Bryant Ranch Prepack","71335-1840","PHENDIMETRAZINE TARTRATE","PHENDIMETRAZINE TARTRATE","HUMAN PRESCRIPTION DRUG","01/30/2025","N/A","ANDA","28 TABLET in 1 BOTTLE (71335-1840-9)","Appetite Suppression [PE],  Increased Sympathetic Activity [PE],  Sympathomimetic Amine Anorectic [EPC]","CIII","No","12/31/2026"
"Metoprolol Tartrate","71610-565-30","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-30)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-45","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","45 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-45)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-53","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-53)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-60","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/02/2021","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-60)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-70","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/02/2021","N/A","ANDA","120 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-70)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-73","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","135 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-73)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-80","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/02/2021","N/A","ANDA","180 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-80)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-92","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/02/2021","N/A","ANDA","270 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-92)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-94","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","360 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-94)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","71610-565-98","50 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Aphena Pharma Solutions - Tennessee, LLC","71610-565","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/04/2021","N/A","ANDA","540 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-565-98)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Brimonidine Tartrate and Timolol Maleate","70069-651-01","2 mg/mL,  5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA216114","Somerset Therapeutics, LLC","70069-651","Brimonidine Tartrate and Timolol Maleate","BRIMONIDINE TARTRATE,  TIMOLOL MALEATE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (70069-651-01)  / 5 mL in 1 BOTTLE","Adrenergic alpha-Agonists [MoA],  Adrenergic beta-Antagonists [MoA],  alpha-Adrenergic Agonist [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-063-10","1.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-063","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (46708-063-10)  / 10 CAPSULE in 1 BLISTER PACK (46708-063-11)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-063-30","1.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-063","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","30 CAPSULE in 1 BOTTLE (46708-063-30)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-063-60","1.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-063","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","60 CAPSULE in 1 BOTTLE (46708-063-60)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-063-71","1.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-063","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","500 CAPSULE in 1 BOTTLE (46708-063-71)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-063-91","1.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-063","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (46708-063-91)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-116-30","100 mg/1,  25 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-116","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","30 TABLET in 1 BOTTLE (62332-116-30)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-116-31","100 mg/1,  25 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-116","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","100 TABLET in 1 BOTTLE (62332-116-31)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-116-71","100 mg/1,  25 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-116","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","500 TABLET in 1 BOTTLE (62332-116-71)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Brimonidine Tartrate and Timolol Maleate","70069-652-01","2 mg/mL,  5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA216114","Somerset Therapeutics, LLC","70069-652","Brimonidine Tartrate and Timolol Maleate","BRIMONIDINE TARTRATE,  TIMOLOL MALEATE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (70069-652-01)  / 10 mL in 1 BOTTLE","Adrenergic alpha-Agonists [MoA],  Adrenergic beta-Antagonists [MoA],  alpha-Adrenergic Agonist [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-064-10","3 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-064","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (46708-064-10)  / 10 CAPSULE in 1 BLISTER PACK (46708-064-11)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-064-30","3 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-064","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","30 CAPSULE in 1 BOTTLE (46708-064-30)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-064-60","3 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-064","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","60 CAPSULE in 1 BOTTLE (46708-064-60)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-064-71","3 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-064","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","500 CAPSULE in 1 BOTTLE (46708-064-71)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-064-91","3 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-064","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (46708-064-91)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-117-30","100 mg/1,  50 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-117","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","30 TABLET in 1 BOTTLE (62332-117-30)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-117-31","100 mg/1,  50 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-117","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","100 TABLET in 1 BOTTLE (62332-117-31)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate and Hydrochlorothiazide","62332-117-71","100 mg/1,  50 mg/1","TABLET","ORAL","ANDA202870","Alembic Pharmaceuticals Inc.","62332-117","Metoprolol Tartrate and Hydrochlorothiazide","METOPROLOL TARTRATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","10/15/2015","N/A","ANDA","500 TABLET in 1 BOTTLE (62332-117-71)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Brimonidine Tartrate and Timolol Maleate","70069-653-01","2 mg/mL,  5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA216114","Somerset Therapeutics, LLC","70069-653","Brimonidine Tartrate and Timolol Maleate","BRIMONIDINE TARTRATE,  TIMOLOL MALEATE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (70069-653-01)  / 15 mL in 1 BOTTLE","Adrenergic alpha-Agonists [MoA],  Adrenergic beta-Antagonists [MoA],  alpha-Adrenergic Agonist [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-065-10","4.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-065","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (46708-065-10)  / 10 CAPSULE in 1 BLISTER PACK (46708-065-11)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-065-30","4.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-065","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","30 CAPSULE in 1 BOTTLE (46708-065-30)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-065-60","4.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-065","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","60 CAPSULE in 1 BOTTLE (46708-065-60)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-065-71","4.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-065","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","500 CAPSULE in 1 BOTTLE (46708-065-71)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"Rivastigmine Tartrate","46708-065-91","4.5 mg/1","CAPSULE","ORAL","ANDA091689","Alembic Pharmaceuticals Limited","46708-065","Rivastigmine Tartrate","RIVASTIGMINE TARTRATE","HUMAN PRESCRIPTION DRUG","06/13/2012","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (46708-065-91)","Cholinesterase Inhibitor [EPC],  Cholinesterase Inhibitors [MoA]","N/A","No","12/31/2026"
"varenicline","67877-743-95",".5 mg/1","TABLET, FILM COATED","ORAL","ANDA214557","Ascend Laboratories, LLC","67877-743","varenicline tartrate","VARENICLINE TARTRATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","56 TABLET, FILM COATED in 1 BOTTLE (67877-743-95)","Cholinergic Agonists [MoA],  Cholinergic Receptor Agonist [EPC],  Partial Cholinergic Nicotinic Agonist [EPC],  Partial Cholinergic Nicotinic Agonists [MoA]","N/A","No","12/31/2027"
"Metoprolol Tartrate","0378-0047-01","100 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Mylan Pharmaceuticals Inc.","0378-0047","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","12/23/1993","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0047-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Metoprolol Tartrate","0378-0047-10","100 mg/1","TABLET, FILM COATED","ORAL","ANDA076704","Mylan Pharmaceuticals Inc.","0378-0047","metoprolol tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","12/23/1993","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0047-10)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"METOPROLOL TARTRATE","50090-7554-0","50 mg/1","TABLET","ORAL","ANDA200981","A-S Medication Solutions","50090-7554","METOPROLOL TARTRATE","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","05/23/2025","N/A","ANDA","90 TABLET in 1 BOTTLE (50090-7554-0)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"zolpidem tartrate","52427-775-30","7.5 mg/1","CAPSULE","ORAL","NDA215721","Almatica Pharma LLC","52427-775","zolpidem tartrate","ZOLPIDEM TARTRATE","HUMAN PRESCRIPTION DRUG","05/24/2023","N/A","NDA","30 CAPSULE in 1 BOTTLE (52427-775-30)","Central Nervous System Depression [PE],  GABA A Receptor Positive Modulators [MoA],  gamma-Aminobutyric Acid A Receptor Positive Modulator [EPC]","CIV","No","12/31/2026"
"Metoprolol Tartrate","60760-524-60","50 mg/1","TABLET, FILM COATED","ORAL","ANDA200981","St. Mary's Medical Park Pharmacy","60760-524","Metoprolol Tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","08/30/2022","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (60760-524-60)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Metoprolol Tartrate","60760-524-98","50 mg/1","TABLET, FILM COATED","ORAL","ANDA200981","St. Mary's Medical Park Pharmacy","60760-524","Metoprolol Tartrate","METOPROLOL TARTRATE","HUMAN PRESCRIPTION DRUG","06/17/2022","N/A","ANDA","180 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (60760-524-98)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"CHANTIX","63187-618-53","N/A","KIT","N/A","NDA021928","Proficient Rx LP","63187-618","varenicline tartrate","N/A","HUMAN PRESCRIPTION DRUG","12/01/2018","N/A","NDA","1 KIT in 1 CARTON (63187-618-53)  *  11 TABLET, FILM COATED in 1 BLISTER PACK *  42 TABLET, FILM COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
